Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,41.29301163,42.53278855,43.60127986,44.69911306,45.86383942,46.92553526,46.40734175,45.9377853,45.5472881,45.18474299,44.80280332,43.94948981,42.78152342,41.51682274,40.39204322,39.51745122,38.19109645,37.10035458,36.20271244,35.38370882,34.57297826,34.14786699,33.86941314,33.70327957,33.61213089,33.55426915,33.55864169,33.41819405,33.23574048,33.01502639,32.69023312,32.43683302,31.9805921,31.40224912,30.79334696,30.24621383,30.09663606,29.90027415,29.83672804,29.94198331,30.14078912,29.06608176,28.04939427,27.1529251,26.37507773,25.68435069,24.19038457,22.93519088,21.91064208,21.05544286,20.31155811,20.35557614,20.40510976,20.51211077,20.67496211,20.84971327,20.38993065,19.84149401,19.25431012,18.71869615,
"Bahamas, The",BHS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,42.38866471,42.42753277,42.56716023,42.79757184,43.05918076,43.27890389,43.05515705,42.75914035,42.4644496,42.26447026,42.16511097,41.43792879,41.09273273,40.94823074,40.74924373,40.37777401,39.96443919,39.21086144,38.29996327,37.50970949,36.97356487,36.18374,35.81050394,35.65513319,35.42577298,34.99347765,34.73811486,34.15943536,33.4276281,32.81055722,32.43736901,31.9633881,31.8157043,31.8265829,31.72603554,31.38116381,31.21826339,30.79016419,30.20402826,29.66925342,29.3070649,28.91301905,28.64135734,28.4489779,28.276167,28.10911811,27.83740594,27.66302399,27.48420774,27.23138179,26.88382891,26.417634,25.84189623,25.19466513,24.55933498,23.99026205,23.35300188,22.87409464,22.48487567,22.07573136,
Bosnia and Herzegovina,BIH,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,37.99042555,37.98591682,37.87299156,37.63915573,37.30451622,36.88635985,36.72767462,36.37105139,35.88865484,35.39484402,34.95018919,34.36074598,33.90823475,33.50408595,33.02130142,32.41053874,31.77139101,31.00374508,30.17284626,29.39635679,28.73669063,28.08905023,27.57409116,27.14247413,26.71167526,26.24477731,25.81709712,25.38750254,24.96788419,24.56764062,24.16011209,23.66087255,23.19053229,22.73842425,22.32911574,22.01522571,21.70979632,21.47981703,21.28838399,21.05160239,20.71187809,20.2749452,19.66150332,18.94726798,18.26850582,17.70187003,17.09414398,16.69595348,16.41666252,16.11450725,15.7370505,15.73123383,15.58214599,15.36589166,15.23041379,15.24155666,14.92118457,14.7957124,14.76621765,14.69375947,
Belarus,BLR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,28.90235562,29.5379045,29.96229903,30.21046772,30.35267785,30.41586593,30.20300841,29.92645808,29.56195337,29.09353993,28.53723185,27.77076211,27.07841871,26.44263667,25.83174701,25.22472438,24.75106858,24.18034788,23.58908376,23.10247114,22.78807592,22.59855152,22.58524197,22.6848796,22.78822839,22.8397475,22.97907232,23.05232128,23.05882696,23.01726441,22.93017706,22.83352379,22.64657633,22.37845663,22.04789118,21.66572663,21.0428963,20.46097896,19.87356654,19.23024953,18.52567032,17.90318223,17.25041333,16.60702525,16.04286905,15.59807858,15.29205518,15.06125986,14.91952431,14.86501013,14.89571655,15.0666467,15.31161683,15.61410371,15.93958058,16.26355763,16.51414308,16.70788788,16.86594305,17.03632015,
Belize,BLZ,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,45.27719847,45.90562073,46.32485829,46.63651611,46.89285818,47.09901149,47.18099262,47.26422461,47.30357312,47.2610493,47.11659655,47.3480083,47.53047582,47.64103516,47.67986474,47.64220321,47.57116325,47.38701648,47.09027453,46.78036871,46.552669,45.99026876,45.62376238,45.38191013,45.12151771,44.77719635,44.66054916,44.39995411,44.06293988,43.74471982,43.45994711,43.2746641,43.1578189,43.03822449,42.86691789,42.65545049,42.20832709,41.72488492,41.30227063,40.98573987,40.7415644,40.41628931,40.09177599,39.74167208,39.34301131,38.90239605,38.25983682,37.6058858,36.94442724,36.27909933,35.61265754,34.87828438,34.18786982,33.5105506,32.816117,32.10263401,31.52361564,30.90356043,30.27976537,29.70439576,
Bermuda,BMU,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,41.22796151,41.33196244,41.36387421,41.34077406,41.27504544,41.17379803,41.25775588,41.26898816,41.2296682,41.16107869,41.0740267,41.14932318,41.17508366,41.16207051,41.11436089,41.0331148,41.10177148,41.10876828,41.06437885,40.97510645,40.84371951,40.84477425,40.77895275,40.6665307,40.53049467,40.38309173,40.30265663,40.20777512,40.09230869,39.94106633,39.74818357,39.65185248,39.48115605,39.26242163,39.02825483,38.79372707,38.6267498,38.44442389,38.24160056,38.00754408,37.73964561,37.50872791,37.24982597,36.96583685,36.6583273,36.32659056,36.01545898,35.66292571,35.28125525,34.88705516,34.48951544,34.07449989,33.67098761,33.26768716,32.84772256,32.40495394,31.98344352,31.5346174,31.07354775,30.62526166,
Brazil,BRA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.16633708,43.32924652,43.45422729,43.52099739,43.50160935,43.38488127,43.34513175,43.162343,42.88136471,42.55662638,42.2118818,41.8636198,41.50165839,41.1177663,40.69943023,40.2501786,39.8324951,39.41472492,38.99789294,38.58751455,38.19093871,37.9287343,37.64699504,37.35912647,37.06969735,36.77122624,36.52919733,36.23455925,35.90053362,35.54069211,35.15866633,34.69406664,34.24810018,33.79231786,33.29529116,32.7512505,32.22623427,31.66651935,31.08613145,30.50673063,29.93816535,29.44179558,28.92008812,28.39090978,27.87030855,27.36172174,26.82928701,26.32434565,25.83188746,25.33302472,24.82336042,24.31483271,23.81947181,23.33560334,22.86749111,22.42082231,22.0495231,21.6838368,21.33407191,21.00919373,
Barbados,BRB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,38.08771322,38.45147982,38.70689025,38.87557249,38.98953902,39.04924537,38.86093321,38.54068512,38.11524989,37.63400643,37.1086163,35.89510775,34.8193694,33.78670254,32.67973055,31.50182406,31.04049955,30.45589848,29.95567599,29.72854693,29.75031102,28.89995184,28.32589479,27.88475124,27.38662293,26.77717813,26.31005768,25.69500696,25.02500222,24.44827414,24.02619799,23.58717856,23.30668046,23.1299787,22.96436674,22.77001748,22.5846193,22.36872033,22.14557282,21.95480882,21.80689833,21.44954128,21.18240834,20.9704406,20.76873338,20.56325387,20.38835651,20.20236814,20.0256478,19.87698503,19.74295629,19.46591186,19.19415159,18.91057208,18.6043409,18.28237372,17.95196574,17.64023589,17.34294815,17.05043115,
Brunei Darussalam,BRN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.51056278,44.10719712,44.90897509,45.69488989,46.20189752,46.32469283,45.9645394,45.2884889,44.44350201,43.6302589,42.96180778,42.30896802,41.82943488,41.44176902,41.01385163,40.50400307,40.41895339,40.08722827,39.66115725,39.26195604,38.9247933,38.72693367,38.59704462,38.49751976,38.36049043,38.15209691,37.29770695,36.46527447,35.72609286,35.12077564,34.64388279,34.41418429,34.16017992,33.89046475,33.57148286,33.16942318,32.83807473,32.39057822,31.8602261,31.277398,30.65688173,30.11610604,29.51248911,28.93151011,28.38331483,27.83103359,27.50180277,27.08706146,26.66194017,26.2837778,25.95909903,25.46813721,25.10244643,24.80138272,24.47671737,24.0887717,23.88351596,23.49595852,23.02646149,22.61652261,
